"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20140901","2014","9","201409","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","10646121","false","0","false","37418159.319","0","37418159.319","0","false","true",
"C","M","20141101","2014","11","201411","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","11253263","false","0","false","39465351.562","0","39465351.562","0","false","true",
"C","M","20141001","2014","10","201410","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","10201678","false","0","false","38012443.88","0","38012443.88","0","false","true",
"C","M","20141101","2014","11","201411","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","8727060","false","0","false","0","23417284.286","23417284.286","0","false","true",
"C","M","20141001","2014","10","201410","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","9808606","false","0","false","0","30387863.481","30387863.481","0","false","true",
"C","M","20141201","2014","12","201412","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","7280283","false","0","false","20217008.627","0","20217008.627","0","false","true",
"C","M","20140901","2014","9","201409","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","7726316","false","0","false","0","27320918.061","27320918.061","0","false","true",
"C","M","20140301","2014","3","201403","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","12124152","false","0","false","0","42987356.232","42987356.232","0","false","true",
"C","M","20140301","2014","3","201403","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","7769752","false","0","false","26335256.732","0","26335256.732","0","false","true",
"C","M","20140401","2014","4","201404","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","14764579","false","0","false","0","52900520.063","52900520.063","0","false","true",
